season,match_id,game_number,team,action,order,hero,source
14,S14-RS-006,2,Rebellion Esports,pick_explane,NULL,Terizla,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,2,Rebellion Esports,pick_jungler,NULL,Hayabusa,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,2,Rebellion Esports,pick_midlane,NULL,Zhask,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,2,Rebellion Esports,pick_goldlane,NULL,Karrie,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,2,Rebellion Esports,pick_roamer,NULL,Khufra,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Rebellion Esports,pick_explane,NULL,Edith,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Rebellion Esports,pick_jungler,NULL,Hayabusa,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Rebellion Esports,pick_midlane,NULL,Vexana,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Rebellion Esports,pick_goldlane,NULL,Melissa,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Rebellion Esports,pick_roamer,NULL,Chou,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Fnatic ONIC,pick_explane,NULL,Terizla,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Fnatic ONIC,pick_jungler,NULL,Roger,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Fnatic ONIC,pick_midlane,NULL,Faramis,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Fnatic ONIC,pick_goldlane,NULL,Claude,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-006,3,Fnatic ONIC,pick_roamer,NULL,Khufra,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,RRQ Hoshi,pick_explane,NULL,Terizla,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,RRQ Hoshi,pick_jungler,NULL,Julian,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,RRQ Hoshi,pick_midlane,NULL,Aurora,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,RRQ Hoshi,pick_goldlane,NULL,Roger,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,RRQ Hoshi,pick_roamer,NULL,Minotaur,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,Bigetron Alpha,pick_explane,NULL,Ruby,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,Bigetron Alpha,pick_jungler,NULL,X.Borg,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,Bigetron Alpha,pick_midlane,NULL,Valentina,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,Bigetron Alpha,pick_goldlane,NULL,Moskov,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,1,Bigetron Alpha,pick_roamer,NULL,Arlott,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,2,Bigetron Alpha,pick_explane,NULL,Terizla,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
14,S14-RS-007,2,Bigetron Alpha,pick_jungler,NULL,Ling,https://huggingface.co/datasets/z4fL/mpl_s14_dataset/blob/main/mpl_id_s14.csv
